iter	Passed	Remaining
862	5642	895
863	5647	888
864	5651	882
865	5656	875
866	5660	868
867	5664	861
868	5668	854
869	5672	847
870	5678	841
871	5685	834
872	5689	827
873	5694	820
874	5700	814
875	5704	807
876	5709	800
877	5714	794
878	5719	787
879	5724	780
880	5729	773
881	5736	767
882	5741	760
883	5746	754
884	5774	750
885	5780	743
886	5784	736
887	5789	730
888	5795	723
889	5800	716
890	5806	710
891	5812	703
892	5817	697
893	5823	690
894	5831	684
895	5836	677
896	5840	670
897	5845	663
898	5849	657
899	5853	650
900	5857	643
901	5861	636
902	5865	630
903	5869	623
904	5873	616
905	5877	609
906	5881	603
907	5886	596
908	5890	589
909	5894	582
910	5900	576
911	5910	570
912	5915	563
913	5919	556
914	5924	550
915	5928	543
916	5932	536
917	5936	530
918	5940	523
919	5944	516
920	5948	510
921	5953	503
922	5956	496
923	5960	490
924	5964	483
925	5968	476
926	5974	470
927	5979	463
928	5987	457
929	5992	451
930	5996	444
931	6002	437
932	6006	431
933	6011	424
934	6017	418
935	6022	411
936	6026	405
937	6033	398
938	6037	392
939	6043	385
940	6050	379
941	6056	372
942	6061	366
943	6066	359
944	6070	353
945	6075	346
946	6080	340
947	6084	333
948	6088	327
949	6092	320
950	6096	314
951	6100	307
952	6104	301
953	6108	294
954	6112	288
955	6116	281
956	6121	275
957	6125	268
958	6129	262
959	6133	255
960	6137	249
961	6141	242
962	6145	236
963	6150	229
964	6154	223
965	6158	216
966	6162	210
967	6166	203
968	6170	197
969	6174	190
970	6180	184
971	6185	178
972	6191	171
973	6196	165
974	6200	158
975	6205	152
976	6211	146
977	6215	139
978	6221	133
979	6226	127
980	6230	120
981	6236	114
982	6242	107
983	6247	101
984	6254	95
985	6263	88
986	6270	82
987	6275	76
988	6282	69
989	6287	63
990	6291	57
991	6300	50
992	6305	44
993	6310	38
994	6315	31
995	6322	25
996	6329	19
997	6334	12
998	6339	6
999	6344	0
